seed,model,instance,makespan,runtime
0,results/save_20_10.pt,Behnke1.fjs,147.0,0.21276617050170896
1,results/save_20_10.pt,Behnke1.fjs,147.0,0.28705310821533203
2,results/save_20_10.pt,Behnke1.fjs,147.0,0.3404989242553711
3,results/save_20_10.pt,Behnke1.fjs,147.0,0.5034317970275879
4,results/save_20_10.pt,Behnke1.fjs,147.0,0.3798379898071289
5,results/save_20_10.pt,Behnke1.fjs,147.0,0.2518410682678223
6,results/save_20_10.pt,Behnke1.fjs,147.0,0.29268383979797363
7,results/save_20_10.pt,Behnke1.fjs,147.0,0.24745893478393555
8,results/save_20_10.pt,Behnke1.fjs,147.0,0.2548201084136963
9,results/save_20_10.pt,Behnke1.fjs,147.0,0.2359738349914551
0,results/save_20_10.pt,Behnke10.fjs,208.0,0.7420060634613037
1,results/save_20_10.pt,Behnke10.fjs,208.0,0.6836330890655518
2,results/save_20_10.pt,Behnke10.fjs,208.0,0.6968080997467041
3,results/save_20_10.pt,Behnke10.fjs,208.0,0.7253749370574951
4,results/save_20_10.pt,Behnke10.fjs,208.0,0.7064750194549559
5,results/save_20_10.pt,Behnke10.fjs,208.0,0.7212631702423096
6,results/save_20_10.pt,Behnke10.fjs,208.0,0.8384389877319336
7,results/save_20_10.pt,Behnke10.fjs,208.0,0.7796211242675781
8,results/save_20_10.pt,Behnke10.fjs,208.0,0.9710929393768308
9,results/save_20_10.pt,Behnke10.fjs,208.0,0.8136177062988281
0,results/save_20_10.pt,Behnke11.fjs,367.0,3.8251211643218994
1,results/save_20_10.pt,Behnke11.fjs,367.0,4.039156913757323
2,results/save_20_10.pt,Behnke11.fjs,367.0,3.529743194580078
3,results/save_20_10.pt,Behnke11.fjs,367.0,4.655502080917358
4,results/save_20_10.pt,Behnke11.fjs,367.0,3.5823240280151367
5,results/save_20_10.pt,Behnke11.fjs,367.0,3.6849231719970703
6,results/save_20_10.pt,Behnke11.fjs,367.0,3.8900527954101562
7,results/save_20_10.pt,Behnke11.fjs,367.0,3.602074146270752
8,results/save_20_10.pt,Behnke11.fjs,367.0,4.1074578762054434
9,results/save_20_10.pt,Behnke11.fjs,367.0,3.534497022628784
0,results/save_20_10.pt,Behnke12.fjs,375.0,4.61653208732605
1,results/save_20_10.pt,Behnke12.fjs,375.0,3.550238847732544
2,results/save_20_10.pt,Behnke12.fjs,375.0,4.068192720413208
3,results/save_20_10.pt,Behnke12.fjs,375.0,3.429697036743164
4,results/save_20_10.pt,Behnke12.fjs,375.0,4.143496751785278
5,results/save_20_10.pt,Behnke12.fjs,375.0,3.6625709533691406
6,results/save_20_10.pt,Behnke12.fjs,375.0,3.659145832061768
7,results/save_20_10.pt,Behnke12.fjs,375.0,4.1574480533599845
8,results/save_20_10.pt,Behnke12.fjs,375.0,3.734915018081665
9,results/save_20_10.pt,Behnke12.fjs,375.0,4.3742079734802255
0,results/save_20_10.pt,Behnke13.fjs,375.0,3.519606828689575
1,results/save_20_10.pt,Behnke13.fjs,375.0,4.385676860809326
2,results/save_20_10.pt,Behnke13.fjs,375.0,3.709640026092529
3,results/save_20_10.pt,Behnke13.fjs,375.0,4.9086172580718985
4,results/save_20_10.pt,Behnke13.fjs,375.0,3.5838656425476074
5,results/save_20_10.pt,Behnke13.fjs,375.0,3.982877016067505
6,results/save_20_10.pt,Behnke13.fjs,375.0,3.723700046539306
7,results/save_20_10.pt,Behnke13.fjs,375.0,3.6859099864959717
8,results/save_20_10.pt,Behnke13.fjs,375.0,4.511444091796875
9,results/save_20_10.pt,Behnke13.fjs,375.0,3.6336698532104488
0,results/save_20_10.pt,Behnke14.fjs,377.0,4.022294998168944
1,results/save_20_10.pt,Behnke14.fjs,377.0,3.547834873199463
2,results/save_20_10.pt,Behnke14.fjs,377.0,4.203267812728882
3,results/save_20_10.pt,Behnke14.fjs,377.0,3.553880214691162
4,results/save_20_10.pt,Behnke14.fjs,377.0,4.226465940475464
5,results/save_20_10.pt,Behnke14.fjs,377.0,3.537791013717652
6,results/save_20_10.pt,Behnke14.fjs,377.0,4.311304807662964
7,results/save_20_10.pt,Behnke14.fjs,377.0,3.4994328022003174
8,results/save_20_10.pt,Behnke14.fjs,377.0,3.869040012359618
9,results/save_20_10.pt,Behnke14.fjs,377.0,3.867365121841431
0,results/save_20_10.pt,Behnke15.fjs,343.0,3.938828945159912
1,results/save_20_10.pt,Behnke15.fjs,343.0,4.006527900695802
2,results/save_20_10.pt,Behnke15.fjs,343.0,3.537278175354004
3,results/save_20_10.pt,Behnke15.fjs,343.0,4.809185028076172
4,results/save_20_10.pt,Behnke15.fjs,343.0,3.6305689811706543
5,results/save_20_10.pt,Behnke15.fjs,343.0,4.1050307750701895
6,results/save_20_10.pt,Behnke15.fjs,343.0,3.5215060710906982
7,results/save_20_10.pt,Behnke15.fjs,343.0,4.313063859939575
8,results/save_20_10.pt,Behnke15.fjs,343.0,3.9046339988708496
9,results/save_20_10.pt,Behnke15.fjs,343.0,3.697008848190308
0,results/save_20_10.pt,Behnke16.fjs,654.0,13.005307912826538
1,results/save_20_10.pt,Behnke16.fjs,654.0,12.552855014801025
